Strategy,Pair,Side_X,Side_Y,Volume_X,Volume_Y,EntryTime,ExitTime,EntryPrice_X,EntryPrice_Y,ExitPrice_X,ExitPrice_Y,PnL_X,PnL_Y,PnL_Total,Return_%,Duration_h,Reason
WF,AAPL-MSFT,short,long,13.836277941972632,21.93245672387203,2024-08-05 18:00:00+00:00,2025-02-28 15:00:00+00:00,395.5169982910156,206.42999267578125,389.489990234375,236.9199981689453,83.39135863018802,668.7207259894412,752.1120846196293,2102.7081098784756,4965.0,exit_signal
WF,AAPL-AMZN,short,long,19.447324193603553,33.27065419946958,2024-08-05 18:00:00+00:00,2025-06-02 14:00:00+00:00,161.04730224609375,206.42999267578125,205.0800018310547,200.7100067138672,-856.3181839482879,-190.30767496466316,-1046.6258589129511,-1985.3300350577786,7220.0,exit_signal
WF,AAPL-META,short,long,1.8176432600292598,44.24384597399913,2024-08-05 18:00:00+00:00,2025-04-23 16:00:00+00:00,476.8500061035156,206.42999267578125,521.9500122070312,204.9499969482422,-81.97572212133366,-65.48070301141506,-147.45642513274873,-320.1295216130655,6262.0,exit_signal
WF,AAPL-NVDA,short,long,16.429306210102787,40.48459043582136,2024-08-05 18:00:00+00:00,2025-06-30 14:00:00+00:00,99.98999786376952,206.42999267578125,157.04989624023438,199.97000122070312,-937.454542744288,-261.5301082777436,-1198.9846510220316,-2106.6641394828766,7892.0,exit_signal
WF,AAPL-TSLA,short,long,16.143157994584453,32.9406202972782,2024-08-05 18:00:00+00:00,2024-12-02 15:00:00+00:00,198.2306060791016,206.42999267578125,352.2799987792969,239.8300018310547,-2486.8436853290373,1100.217019509478,-1386.6266658195593,-2825.020228830756,2853.0,exit_signal
WF,AAPL-ADBE,long,short,2.0072922628458008,36.25157756817426,2024-12-31 15:00:00+00:00,2025-04-30 14:00:00+00:00,445.5400085449219,251.17999267578125,371.010009765625,210.5449981689453,-149.6034898995896,1473.082655346898,1323.4791654473083,3459.2740749864993,2879.0,exit_signal
WF,AAPL-INTC,short,long,139.15595754289808,43.32420818665247,2025-04-08 18:00:00+00:00,2025-04-09 19:00:00+00:00,18.03499984741211,172.88999938964844,21.489999771118164,198.8500061035156,-480.78382269395587,1124.6967353984767,643.9129127045207,352.86734321517906,25.0,exit_signal
WF,AAPL-INTC,short,long,114.93366438392775,39.61871440461637,2025-05-07 14:00:00+00:00,2025-08-13 13:00:00+00:00,20.01219940185547,194.35069274902344,21.7450008392334,231.80999755859372,-199.15721884758256,1484.0894990458376,1284.932280198255,831.3895200256202,2351.0,exit_signal
WF,AAPL-CSCO,long,short,125.98277926027264,21.031262453237137,2024-08-05 18:00:00+00:00,2024-09-30 14:00:00+00:00,44.915000915527344,206.42999267578125,52.95500183105469,231.8999938964844,1012.9016605932712,-535.6662803568782,477.235380236393,324.6189103258547,1340.0,exit_signal
WF,MSFT-GOOGL,long,short,11.553372070182892,20.691543209148524,2025-02-28 15:00:00+00:00,2025-04-30 14:00:00+00:00,167.99000549316406,389.489990234375,157.27999877929688,390.4400024414063,-123.73669243946442,-19.657218631006838,-143.39391107047126,-444.70239672915176,1463.0,exit_signal
WF,MSFT-AMZN,long,short,11.479618252244668,17.63382768443797,2024-12-31 15:00:00+00:00,2025-06-30 14:00:00+00:00,220.6000061035156,423.4812927246094,221.4033050537109,497.3875122070313,9.22156529067109,-1303.2495391612808,-1294.0279738706097,-4444.7777727340335,4343.0,exit_signal
WF,MSFT-META,short,long,5.527107964752196,18.619676436395558,2024-08-05 18:00:00+00:00,2024-09-30 14:00:00+00:00,476.8500061035156,395.5169982910156,573.3499755859375,427.9219970703125,-533.3657499246378,603.3705921923008,70.00484226766298,289.91372559045783,1340.0,exit_signal
