Strategy,Pair,Side_X,Side_Y,Volume_X,Volume_Y,EntryTime,ExitTime,EntryPrice_X,EntryPrice_Y,ExitPrice_X,ExitPrice_Y,PnL_X,PnL_Y,PnL_Total,Return_%,Duration_h,Reason
Static,AAPL-MSFT,long,short,7.396829216332538,32.826532124212086,2024-06-11 19:00:00+00:00,2025-01-16 14:00:00+00:00,432.6600036621094,207.13999938964844,426.135009765625,232.8179931640625,-48.26426548990711,-842.9194875211211,-891.1837530110282,-2215.587467854723,5251.0,exit_signal
Static,AAPL-MSFT,long,short,7.877885567051274,27.824239742667242,2025-02-14 14:00:00+00:00,2025-03-10 15:00:00+00:00,406.239990234375,244.3800048828125,381.92718505859375,225.47999572753903,-191.53349698881664,525.8783858749347,334.34488888611804,936.4845537503776,577.0,exit_signal
Static,AAPL-MSFT,short,long,8.523823814523912,33.4959992323821,2025-04-03 17:00:00+00:00,2025-08-08 14:00:00+00:00,375.4549865722656,203.0,521.3300170898438,224.3600006103516,-1243.4130590701348,715.474564048018,-527.9384950221167,-1256.4034228149605,3045.0,exit_signal
Static,AAPL-GOOGL,long,short,19.380409559369667,27.115142003883676,2024-07-15 13:00:00+00:00,2024-11-06 15:00:00+00:00,187.4900054931641,234.79010009765625,175.35000610351562,224.8000030517578,-235.27816022188506,270.88290003211495,35.60473981022989,76.5766586547373,2738.0,exit_signal
Static,AAPL-GOOGL,short,long,18.156363394253088,28.70703187964108,2025-01-21 14:00:00+00:00,2025-01-28 15:00:00+00:00,200.1300048828125,221.77029418945312,194.58999633789065,239.0800018310547,100.58640834886833,496.91032909472284,597.4967374435912,1274.9753489936188,169.0,exit_signal
Static,AAPL-GOOGL,short,long,17.88293248233912,28.117511512846537,2025-02-03 15:00:00+00:00,2025-02-11 14:00:00+00:00,203.19000244140625,226.4199981689453,186.3300018310547,233.33999633789065,301.50625256711334,194.57312818419757,496.0793807513109,1078.4230274021484,191.0,exit_signal
Static,AAPL-GOOGL,short,long,24.43887622333791,32.601223602265605,2025-04-04 13:00:00+00:00,2025-04-30 15:00:00+00:00,148.6824951171875,195.27999877929688,156.89999389648438,210.58999633789065,-200.8264355326667,499.12465375785627,298.29821822518954,522.9623004469091,626.0,exit_signal
Static,AAPL-GOOGL,short,long,22.034036832544636,32.02720064568727,2025-05-05 13:00:00+00:00,2025-05-12 13:00:00+00:00,164.91000366210938,198.77999877929688,156.9600067138672,209.16000366210935,175.1705255761858,332.4424990850486,507.6130246612344,938.9593141770533,168.0,exit_signal
Static,AAPL-GOOGL,short,long,20.72690174746892,31.774640077162655,2025-05-22 13:00:00+00:00,2025-08-08 15:00:00+00:00,175.30999755859375,200.3600006103516,201.04010009765625,228.1999969482422,-533.305307279449,884.6058633860001,351.3005561065511,669.1242654929712,1874.0,exit_signal
Static,AAPL-GOOGL,short,long,15.09987160888555,28.06978290092036,2025-09-10 16:00:00+00:00,2025-09-22 14:00:00+00:00,240.63999938964844,226.80499267578125,253.55499267578125,255.789794921875,-195.01474045022434,813.5971064739604,618.5823660237361,1432.9101611948881,286.0,exit_signal
