Datetime,hedge_ratio,p_value,is_stationary,status
2024-01-03 14:30:00+00:00,2.738230302760602,,False,UNSTABLE
2024-01-03 15:30:00+00:00,2.7307373884677886,,False,UNSTABLE
2024-01-03 16:30:00+00:00,2.722531093113947,,False,UNSTABLE
2024-01-03 17:30:00+00:00,2.7153994439438423,,False,UNSTABLE
2024-01-03 18:30:00+00:00,2.7086663672348257,,False,UNSTABLE
2024-01-03 19:30:00+00:00,2.7019778647317207,,False,UNSTABLE
2024-01-03 20:30:00+00:00,2.6943795404806146,,False,UNSTABLE
2024-01-04 14:30:00+00:00,2.6876776309184214,,False,UNSTABLE
2024-01-04 15:30:00+00:00,2.6815141235314623,,False,UNSTABLE
2024-01-04 16:30:00+00:00,2.674996217360796,,False,UNSTABLE
2024-01-04 17:30:00+00:00,2.6677445462994083,,False,UNSTABLE
2024-01-04 18:30:00+00:00,2.661215992568984,,False,UNSTABLE
2024-01-04 19:30:00+00:00,2.654798682106596,,False,UNSTABLE
2024-01-04 20:30:00+00:00,2.648119238458756,,False,UNSTABLE
2024-01-05 14:30:00+00:00,2.6415853616011855,,False,UNSTABLE
2024-01-05 15:30:00+00:00,2.636469506603502,,False,UNSTABLE
2024-01-05 16:30:00+00:00,2.631158930294656,,False,UNSTABLE
2024-01-05 17:30:00+00:00,2.626309346528987,,False,UNSTABLE
2024-01-05 18:30:00+00:00,2.6213475562242694,,False,UNSTABLE
2024-01-05 19:30:00+00:00,2.6161031886385886,,False,UNSTABLE
2024-01-05 20:30:00+00:00,2.611161070459727,,False,UNSTABLE
2024-01-08 14:30:00+00:00,2.605916576073163,,False,UNSTABLE
2024-01-08 15:30:00+00:00,2.602592794690073,,False,UNSTABLE
2024-01-08 16:30:00+00:00,2.599920635966492,,False,UNSTABLE
2024-01-08 17:30:00+00:00,2.5970078828394754,,False,UNSTABLE
2024-01-08 18:30:00+00:00,2.5947061141148424,,False,UNSTABLE
