Date,LVMUY,CFR,RICOY,BURBY,PVH,RL,NKE
2024-01-02 14:30:00+00:00,158.01800537109375,108.87999725341797,,17.877300262451172,121.29000091552734,145.22000122070312,107.31999969482422
2024-01-02 15:30:00+00:00,158.17999267578125,109.26000213623047,7.574999809265137,17.844999313354492,121.69999694824219,146.0800018310547,106.70999908447266
2024-01-02 16:30:00+00:00,158.7899932861328,109.95999908447266,,17.8700008392334,122.4800033569336,146.30999755859375,107.4385986328125
2024-01-02 17:30:00+00:00,158.75999450683594,109.44999694824219,,17.815000534057617,122.16999816894531,146.4499969482422,107.41000366210938
2024-01-02 18:30:00+00:00,158.33999633789062,108.9000015258789,,17.831100463867188,122.08499908447266,146.55499267578125,106.86000061035156
2024-01-02 19:30:00+00:00,158.02000427246094,108.12000274658203,7.554500102996826,17.829999923706055,121.54499816894531,145.69000244140625,106.5999984741211
2024-01-02 20:30:00+00:00,158.22000122070312,108.91999816894531,7.440000057220459,17.790000915527344,121.83000183105469,146.02999877929688,106.58999633789062
2024-01-03 14:30:00+00:00,151.9600067138672,107.08999633789062,,17.271900177001953,118.47000122070312,143.0850067138672,104.3949966430664
2024-01-03 15:30:00+00:00,151.94000244140625,106.79499816894531,7.226500034332275,17.309999465942383,118.5,143.0500030517578,104.61499786376953
2024-01-03 16:30:00+00:00,152.0467071533203,106.36499786376953,7.554999828338623,17.40999984741211,118.56999969482422,143.35000610351562,104.47000122070312
2024-01-03 17:30:00+00:00,152.3699951171875,106.49500274658203,,17.479999542236328,119.72750091552734,143.67999267578125,105.0999984741211
2024-01-03 18:30:00+00:00,152.52000427246094,106.34500122070312,7.360000133514404,17.270000457763672,119.08000183105469,143.4949951171875,104.98999786376953
2024-01-03 19:30:00+00:00,151.88999938964844,104.8949966430664,7.449999809265137,17.290000915527344,118.47000122070312,143.00999450683594,104.36000061035156
2024-01-03 20:30:00+00:00,151.9499969482422,105.04000091552734,7.380000114440918,17.329999923706055,117.66000366210938,142.5850067138672,104.05000305175781
2024-01-04 14:30:00+00:00,152.875,106.05999755859375,,17.229999542236328,118.18000030517578,143.55499267578125,103.16999816894531
2024-01-04 15:30:00+00:00,152.69000244140625,106.48999786376953,,17.299999237060547,118.24500274658203,143.41000366210938,103.48500061035156
2024-01-04 16:30:00+00:00,152.69850158691406,106.2699966430664,7.590000152587891,17.325000762939453,117.69999694824219,143.0500030517578,103.02999877929688
2024-01-04 17:30:00+00:00,152.5959930419922,106.0999984741211,,17.27079963684082,117.76000213623047,142.98500061035156,102.94999694824219
2024-01-04 18:30:00+00:00,152.47999572753906,106.12000274658203,,17.309999465942383,117.69000244140625,142.8300018310547,102.61000061035156
