Date,ZN=F,ZF=F,ZT=F,ZB=F,UB=F,TN=F
2024-01-02 05:00:00+00:00,112.484375,108.5390625,102.87890625,124.125,132.375,117.46875
2024-01-02 06:00:00+00:00,112.421875,108.4921875,102.86328125,123.96875,132.15625,117.359375
2024-01-02 07:00:00+00:00,112.359375,108.4375,102.83984375,123.84375,132.09375,117.296875
2024-01-02 08:00:00+00:00,112.296875,108.390625,102.82421875,123.75,131.9375,117.203125
2024-01-02 09:00:00+00:00,112.34375,108.421875,102.84765625,123.75,132.0,117.25
2024-01-02 10:00:00+00:00,112.421875,108.4765625,102.87109375,123.84375,132.09375,117.34375
2024-01-02 11:00:00+00:00,112.234375,108.359375,102.82421875,123.5,131.625,117.109375
2024-01-02 12:00:00+00:00,112.265625,108.375,102.82421875,123.59375,131.6875,117.140625
2024-01-02 13:00:00+00:00,112.125,108.25,102.7578125,123.40625,131.5,116.9375
2024-01-02 14:00:00+00:00,112.484375,108.46875,102.8359375,124.1875,132.625,117.4375
2024-01-02 15:00:00+00:00,112.328125,108.3671875,102.7890625,123.8125,132.09375,117.21875
2024-01-02 16:00:00+00:00,112.390625,108.421875,102.8125,124.0,132.3125,117.328125
2024-01-02 17:00:00+00:00,112.296875,108.3671875,102.80078125,123.78125,132.0,117.171875
2024-01-02 18:00:00+00:00,112.296875,108.359375,102.796875,123.71875,131.96875,117.140625
2024-01-02 19:00:00+00:00,112.296875,108.3515625,102.80078125,123.8125,132.09375,117.203125
2024-01-02 20:00:00+00:00,112.34375,108.359375,102.80078125,123.90625,132.21875,117.265625
2024-01-02 21:00:00+00:00,112.359375,108.375,102.8046875,123.96875,132.3125,117.296875
2024-01-02 23:00:00+00:00,112.234375,108.296875,102.77734375,123.71875,131.9375,117.109375
2024-01-03 00:00:00+00:00,112.28125,108.3359375,102.796875,123.8125,132.09375,117.1875
2024-01-03 01:00:00+00:00,112.328125,108.34375,102.7890625,123.9375,132.25,117.234375
2024-01-03 02:00:00+00:00,112.265625,108.3125,102.77734375,123.8125,132.0625,117.15625
2024-01-03 03:00:00+00:00,112.265625,108.3125,102.78125,123.78125,132.03125,117.140625
2024-01-03 04:00:00+00:00,112.234375,108.2890625,102.77734375,123.65625,131.84375,117.078125
2024-01-03 05:00:00+00:00,112.21875,108.296875,102.77734375,123.65625,131.8125,117.078125
2024-01-03 06:00:00+00:00,112.25,108.3203125,102.7890625,123.65625,131.84375,117.09375
2024-01-03 07:00:00+00:00,112.171875,108.25,102.7578125,123.59375,131.71875,117.015625
2024-01-03 08:00:00+00:00,112.015625,108.1640625,102.72265625,123.21875,131.21875,116.8125
2024-01-03 09:00:00+00:00,112.109375,108.2421875,102.76171875,123.3125,131.3125,116.90625
2024-01-03 10:00:00+00:00,112.140625,108.234375,102.75390625,123.4375,131.46875,116.953125
2024-01-03 11:00:00+00:00,112.109375,108.2265625,102.7578125,123.3125,131.3125,116.90625
2024-01-03 12:00:00+00:00,112.09375,108.203125,102.75390625,123.3125,131.3125,116.90625
2024-01-03 13:00:00+00:00,112.0625,108.203125,102.7578125,123.1875,131.125,116.84375
2024-01-03 14:00:00+00:00,112.046875,108.1796875,102.72265625,123.21875,131.3125,116.84375
2024-01-03 15:00:00+00:00,112.0625,108.1796875,102.7265625,123.125,131.09375,116.84375
2024-01-03 16:00:00+00:00,112.203125,108.265625,102.74609375,123.5,131.6875,117.0625
2024-01-03 17:00:00+00:00,112.390625,108.375,102.7734375,123.90625,132.34375,117.34375
2024-01-03 18:00:00+00:00,112.4375,108.3984375,102.78125,124.03125,132.40625,117.4375
2024-01-03 19:00:00+00:00,112.515625,108.46875,102.8125,124.125,132.625,117.53125
2024-01-03 20:00:00+00:00,112.53125,108.46875,102.80078125,124.15625,132.65625,117.578125
2024-01-03 21:00:00+00:00,112.4375,108.4296875,102.79296875,123.96875,132.25,117.421875
2024-01-03 23:00:00+00:00,112.484375,108.4453125,102.80078125,124.03125,132.40625,117.453125
2024-01-04 00:00:00+00:00,112.421875,108.421875,102.79296875,123.875,132.25,117.359375
2024-01-04 01:00:00+00:00,112.390625,108.390625,102.77734375,123.84375,132.125,117.328125
2024-01-04 02:00:00+00:00,112.40625,108.3984375,102.7890625,123.90625,132.25,117.375
2024-01-04 03:00:00+00:00,112.421875,108.4140625,102.79296875,123.9375,132.25,117.375
2024-01-04 04:00:00+00:00,112.359375,108.375,102.78125,123.75,132.0,117.28125
2024-01-04 05:00:00+00:00,112.421875,108.40625,102.79296875,123.84375,132.125,117.375
2024-01-04 06:00:00+00:00,112.515625,108.4765625,102.82421875,124.0,132.28125,117.46875
2024-01-04 07:00:00+00:00,112.453125,108.4609375,102.8203125,123.9375,132.21875,117.421875
2024-01-04 08:00:00+00:00,112.390625,108.4375,102.82421875,123.6875,131.875,117.296875
2024-01-04 09:00:00+00:00,112.296875,108.3671875,102.796875,123.5,131.5625,117.15625
2024-01-04 10:00:00+00:00,112.234375,108.3125,102.77734375,123.375,131.375,117.078125
2024-01-04 11:00:00+00:00,112.15625,108.265625,102.75,123.21875,131.25,117.0
2024-01-04 12:00:00+00:00,112.1875,108.265625,102.7421875,123.34375,131.46875,117.046875
2024-01-04 13:00:00+00:00,111.9375,108.109375,102.66796875,122.90625,130.8125,116.71875
2024-01-04 14:00:00+00:00,111.921875,108.0859375,102.65625,122.8125,130.75,116.6875
2024-01-04 15:00:00+00:00,112.015625,108.1484375,102.68359375,122.90625,130.875,116.78125
2024-01-04 16:00:00+00:00,111.953125,108.125,102.68359375,122.78125,130.78125,116.734375
2024-01-04 17:00:00+00:00,111.890625,108.078125,102.6640625,122.6875,130.65625,116.65625
2024-01-04 18:00:00+00:00,111.921875,108.09375,102.6640625,122.78125,130.75,116.6875
2024-01-04 19:00:00+00:00,111.984375,108.1171875,102.6796875,122.875,130.84375,116.75
2024-01-04 20:00:00+00:00,111.96875,108.109375,102.67578125,122.78125,130.6875,116.703125
2024-01-04 21:00:00+00:00,111.921875,108.0859375,102.66796875,122.71875,130.5,116.625
2024-01-04 23:00:00+00:00,111.921875,108.0859375,102.66796875,122.6875,130.5,116.625
2024-01-05 00:00:00+00:00,111.96875,108.109375,102.68359375,122.71875,130.53125,116.671875
2024-01-05 01:00:00+00:00,111.96875,108.109375,102.67578125,122.75,130.5625,116.6875
2024-01-05 02:00:00+00:00,111.9375,108.078125,102.66015625,122.6875,130.5,116.65625
2024-01-05 03:00:00+00:00,111.921875,108.0625,102.65234375,122.6875,130.5,116.640625
2024-01-05 04:00:00+00:00,111.90625,108.0546875,102.65234375,122.65625,130.46875,116.640625
2024-01-05 05:00:00+00:00,111.921875,108.0625,102.65625,122.65625,130.40625,116.640625
2024-01-05 06:00:00+00:00,111.796875,107.984375,102.62890625,122.4375,130.125,116.46875
2024-01-05 07:00:00+00:00,111.8125,108.0078125,102.640625,122.4375,130.15625,116.5
2024-01-05 08:00:00+00:00,111.78125,107.9765625,102.6328125,122.34375,130.0,116.4375
2024-01-05 09:00:00+00:00,111.703125,107.921875,102.6015625,122.28125,129.9375,116.359375
2024-01-05 10:00:00+00:00,111.640625,107.875,102.58984375,122.0625,129.65625,116.25
2024-01-05 11:00:00+00:00,111.65625,107.8828125,102.5859375,122.125,129.84375,116.28125
2024-01-05 12:00:00+00:00,111.65625,107.8984375,102.60546875,122.03125,129.71875,116.28125
2024-01-05 13:00:00+00:00,111.515625,107.796875,102.55078125,121.875,129.40625,116.09375
2024-01-05 14:00:00+00:00,111.640625,107.875,102.59375,122.03125,129.71875,116.25
2024-01-05 15:00:00+00:00,112.109375,108.2421875,102.765625,122.6875,130.46875,116.796875
2024-01-05 16:00:00+00:00,111.96875,108.1328125,102.71875,122.46875,130.1875,116.578125
2024-01-05 17:00:00+00:00,111.6875,107.9375,102.640625,121.96875,129.53125,116.25
2024-01-05 18:00:00+00:00,111.734375,107.984375,102.66015625,122.09375,129.6875,116.328125
2024-01-05 19:00:00+00:00,111.71875,107.9609375,102.6484375,122.03125,129.53125,116.265625
2024-01-05 20:00:00+00:00,111.65625,107.9296875,102.63671875,121.90625,129.4375,116.21875
2024-01-05 21:00:00+00:00,111.671875,107.9609375,102.6640625,121.96875,129.4375,116.234375
2024-01-07 23:00:00+00:00,111.546875,107.859375,102.60546875,121.78125,129.21875,116.078125
2024-01-08 00:00:00+00:00,111.578125,107.8828125,102.6171875,121.84375,129.28125,116.125
2024-01-08 01:00:00+00:00,111.640625,107.9140625,102.6328125,121.90625,129.40625,116.203125
2024-01-08 02:00:00+00:00,111.578125,107.890625,102.62890625,121.84375,129.25,116.125
2024-01-08 03:00:00+00:00,111.53125,107.8359375,102.609375,121.6875,129.125,116.046875
2024-01-08 04:00:00+00:00,111.546875,107.8515625,102.6171875,121.6875,129.0625,116.046875
2024-01-08 05:00:00+00:00,111.609375,107.8984375,102.6328125,121.78125,129.15625,116.109375
2024-01-08 06:00:00+00:00,111.609375,107.8984375,102.6328125,121.78125,129.21875,116.125
2024-01-08 07:00:00+00:00,111.609375,107.90625,102.63671875,121.8125,129.28125,116.140625
2024-01-08 08:00:00+00:00,111.640625,107.9140625,102.640625,121.875,129.34375,116.1875
2024-01-08 09:00:00+00:00,111.859375,108.0625,102.69140625,122.34375,130.0,116.484375
2024-01-08 10:00:00+00:00,111.734375,107.9921875,102.6640625,122.09375,129.65625,116.328125
2024-01-08 11:00:00+00:00,111.6875,107.953125,102.65625,121.9375,129.4375,116.234375
2024-01-08 12:00:00+00:00,111.640625,107.9375,102.64453125,121.84375,129.3125,116.1875
2024-01-08 13:00:00+00:00,111.640625,107.9453125,102.65625,121.6875,129.0,116.15625
2024-01-08 14:00:00+00:00,111.953125,108.125,102.73046875,122.375,129.90625,116.546875
2024-01-08 15:00:00+00:00,112.09375,108.21875,102.7578125,122.65625,130.34375,116.71875
2024-01-08 16:00:00+00:00,112.1875,108.3046875,102.796875,122.84375,130.625,116.859375
2024-01-08 17:00:00+00:00,112.203125,108.3046875,102.78515625,122.84375,130.6875,116.859375
2024-01-08 18:00:00+00:00,112.0625,108.203125,102.74609375,122.53125,130.25,116.671875
2024-01-08 19:00:00+00:00,112.046875,108.2109375,102.74609375,122.5,130.1875,116.625
2024-01-08 20:00:00+00:00,111.9375,108.1171875,102.69140625,122.6875,130.5625,116.5625
2024-01-08 21:00:00+00:00,111.828125,108.0546875,102.6796875,122.15625,129.625,116.328125
2024-01-08 23:00:00+00:00,111.890625,108.09375,102.69140625,122.28125,129.8125,116.421875
2024-01-09 00:00:00+00:00,111.890625,108.0859375,102.69140625,122.34375,129.9375,116.453125
2024-01-09 01:00:00+00:00,111.875,108.0859375,102.68359375,122.40625,130.03125,116.453125
2024-01-09 02:00:00+00:00,111.890625,108.09375,102.6875,122.40625,130.0625,116.46875
2024-01-09 03:00:00+00:00,111.9375,108.1171875,102.6953125,122.53125,130.1875,116.53125
2024-01-09 04:00:00+00:00,111.921875,108.1171875,102.6953125,122.46875,130.1875,116.515625
2024-01-09 05:00:00+00:00,111.921875,108.09375,102.68359375,122.4375,130.0625,116.484375
2024-01-09 06:00:00+00:00,111.875,108.0703125,102.67578125,122.34375,129.9375,116.421875
2024-01-09 07:00:00+00:00,111.859375,108.0625,102.67578125,122.25,129.8125,116.390625
2024-01-09 08:00:00+00:00,111.765625,108.015625,102.65625,122.03125,129.46875,116.234375
2024-01-09 09:00:00+00:00,111.734375,108.015625,102.6640625,121.875,129.25,116.171875
2024-01-09 10:00:00+00:00,111.78125,108.046875,102.6796875,121.9375,129.34375,116.21875
2024-01-09 11:00:00+00:00,111.734375,108.015625,102.66796875,121.84375,129.21875,116.171875
2024-01-09 12:00:00+00:00,111.828125,108.0703125,102.68359375,122.0625,129.5,116.296875
2024-01-09 13:00:00+00:00,111.859375,108.078125,102.6796875,122.25,129.78125,116.375
2024-01-09 14:00:00+00:00,112.015625,108.1640625,102.71484375,122.625,130.28125,116.578125
2024-01-09 15:00:00+00:00,111.953125,108.109375,102.6875,122.5,130.09375,116.515625
2024-01-09 16:00:00+00:00,111.96875,108.1328125,102.69140625,122.46875,130.0625,116.546875
2024-01-09 17:00:00+00:00,111.953125,108.125,102.68359375,122.46875,130.03125,116.546875
2024-01-09 18:00:00+00:00,111.90625,108.0859375,102.66796875,122.375,129.90625,116.46875
2024-01-09 19:00:00+00:00,111.921875,108.1171875,102.6875,122.40625,129.90625,116.46875
2024-01-09 20:00:00+00:00,111.9375,108.125,102.69921875,122.40625,129.84375,116.5
2024-01-09 21:00:00+00:00,111.96875,108.1328125,102.69921875,122.4375,129.78125,116.5
2024-01-09 23:00:00+00:00,112.015625,108.171875,102.71484375,122.5625,130.0,116.578125
2024-01-10 00:00:00+00:00,111.984375,108.1484375,102.71484375,122.5,129.9375,116.53125
2024-01-10 01:00:00+00:00,111.9375,108.1171875,102.70703125,122.375,129.78125,116.453125
