Date,HR=F,RX=F
2024-01-02 14:00:00+00:00,386.4200134277344,357.5
2024-01-02 15:00:00+00:00,385.75,357.29998779296875
2024-01-02 16:00:00+00:00,,358.29998779296875
2024-01-02 17:00:00+00:00,,359.1000061035156
2024-01-02 18:00:00+00:00,,358.29998779296875
2024-01-02 19:00:00+00:00,,357.8999938964844
2024-01-02 20:00:00+00:00,,359.1000061035156
2024-01-02 21:00:00+00:00,,358.79998779296875
2024-01-03 08:00:00+00:00,385.54998779296875,
2024-01-03 09:00:00+00:00,385.1000061035156,
2024-01-03 10:00:00+00:00,385.70001220703125,
2024-01-03 11:00:00+00:00,386.0199890136719,
2024-01-03 14:00:00+00:00,385.3800048828125,351.79998779296875
2024-01-03 15:00:00+00:00,,351.29998779296875
2024-01-03 16:00:00+00:00,,352.20001220703125
2024-01-03 17:00:00+00:00,,353.0
2024-01-03 18:00:00+00:00,,353.29998779296875
2024-01-03 19:00:00+00:00,,352.5
2024-01-03 20:00:00+00:00,,350.1000061035156
2024-01-04 14:00:00+00:00,,350.3999938964844
2024-01-04 15:00:00+00:00,,351.29998779296875
2024-01-04 16:00:00+00:00,,350.6000061035156
2024-01-04 17:00:00+00:00,,348.5
2024-01-04 18:00:00+00:00,,349.5
2024-01-04 19:00:00+00:00,,350.29998779296875
2024-01-04 20:00:00+00:00,,349.29998779296875
2024-01-04 21:00:00+00:00,,349.3999938964844
2024-01-05 06:00:00+00:00,383.6099853515625,
2024-01-05 12:00:00+00:00,382.55999755859375,
2024-01-05 13:00:00+00:00,382.6700134277344,
2024-01-05 14:00:00+00:00,382.0199890136719,348.70001220703125
2024-01-05 15:00:00+00:00,381.70001220703125,350.29998779296875
2024-01-05 16:00:00+00:00,,347.79998779296875
2024-01-05 17:00:00+00:00,,346.70001220703125
2024-01-05 18:00:00+00:00,382.5899963378906,348.5
2024-01-05 19:00:00+00:00,,347.3999938964844
2024-01-05 20:00:00+00:00,,348.20001220703125
2024-01-05 21:00:00+00:00,,348.3999938964844
2024-01-08 08:00:00+00:00,382.3599853515625,
2024-01-08 12:00:00+00:00,381.6199951171875,
2024-01-08 13:00:00+00:00,381.510009765625,
2024-01-08 14:00:00+00:00,381.3599853515625,350.3999938964844
2024-01-08 15:00:00+00:00,381.5,351.3999938964844
2024-01-08 16:00:00+00:00,,352.6000061035156
2024-01-08 17:00:00+00:00,,352.20001220703125
2024-01-08 18:00:00+00:00,,351.5
2024-01-08 19:00:00+00:00,,353.5
2024-01-08 20:00:00+00:00,,353.5
2024-01-08 21:00:00+00:00,,353.70001220703125
2024-01-09 07:00:00+00:00,381.94000244140625,
2024-01-09 08:00:00+00:00,381.94000244140625,
2024-01-09 11:00:00+00:00,383.04998779296875,
2024-01-09 14:00:00+00:00,383.45001220703125,350.0
2024-01-09 15:00:00+00:00,,351.0
2024-01-09 16:00:00+00:00,,352.0
2024-01-09 17:00:00+00:00,,352.20001220703125
2024-01-09 18:00:00+00:00,,351.29998779296875
2024-01-09 19:00:00+00:00,,350.6000061035156
2024-01-09 20:00:00+00:00,,351.29998779296875
2024-01-09 21:00:00+00:00,,352.0
2024-01-10 07:00:00+00:00,382.7200012207031,
2024-01-10 08:00:00+00:00,382.6600036621094,
2024-01-10 09:00:00+00:00,382.1400146484375,
2024-01-10 13:00:00+00:00,381.9700012207031,
2024-01-10 14:00:00+00:00,,351.79998779296875
2024-01-10 15:00:00+00:00,,351.6000061035156
2024-01-10 16:00:00+00:00,,351.5
2024-01-10 17:00:00+00:00,,352.20001220703125
2024-01-10 18:00:00+00:00,,352.29998779296875
2024-01-10 19:00:00+00:00,,352.5
2024-01-10 20:00:00+00:00,,351.3999938964844
2024-01-11 09:00:00+00:00,382.8399963378906,
2024-01-11 14:00:00+00:00,,348.70001220703125
2024-01-11 15:00:00+00:00,,347.8999938964844
2024-01-11 16:00:00+00:00,,346.79998779296875
2024-01-11 17:00:00+00:00,,347.79998779296875
2024-01-11 18:00:00+00:00,,348.0
2024-01-11 19:00:00+00:00,,348.8999938964844
2024-01-11 20:00:00+00:00,,347.8999938964844
2024-01-11 21:00:00+00:00,,348.1000061035156
2024-01-12 11:00:00+00:00,382.9599914550781,
2024-01-12 14:00:00+00:00,,351.1000061035156
2024-01-12 15:00:00+00:00,,348.70001220703125
2024-01-12 16:00:00+00:00,,349.29998779296875
2024-01-12 17:00:00+00:00,,349.6000061035156
2024-01-12 18:00:00+00:00,,350.20001220703125
2024-01-12 19:00:00+00:00,,350.20001220703125
2024-01-12 20:00:00+00:00,,350.3999938964844
2024-01-12 21:00:00+00:00,,352.5
2024-01-16 08:00:00+00:00,383.4100036621094,
2024-01-16 09:00:00+00:00,383.4100036621094,
2024-01-16 14:00:00+00:00,,347.3999938964844
2024-01-16 15:00:00+00:00,,349.5
2024-01-16 16:00:00+00:00,,349.0
2024-01-16 17:00:00+00:00,,348.0
2024-01-16 18:00:00+00:00,,347.70001220703125
2024-01-16 19:00:00+00:00,,347.0
2024-01-16 20:00:00+00:00,,347.5
2024-01-17 07:00:00+00:00,383.42999267578125,
2024-01-17 08:00:00+00:00,384.2200012207031,
2024-01-17 13:00:00+00:00,384.6600036621094,
2024-01-17 14:00:00+00:00,,345.29998779296875
2024-01-17 15:00:00+00:00,,343.20001220703125
2024-01-17 16:00:00+00:00,,341.29998779296875
2024-01-17 17:00:00+00:00,,339.6000061035156
2024-01-17 18:00:00+00:00,,338.6000061035156
2024-01-17 19:00:00+00:00,,339.1000061035156
2024-01-17 20:00:00+00:00,,341.0
