Date,WMT,TGT,COST,HD,LOW,DG,DLTR,ULTA,AZO,TSCO
2024-01-02 14:30:00+00:00,,143.87989807128906,652.1699829101562,346.2300109863281,221.9600067138672,140.4550018310547,144.6999969482422,490.82000732421875,2621.284912109375,43.875
2024-01-02 15:30:00+00:00,,143.28500366210938,652.8499755859375,346.32000732421875,220.2100067138672,140.77999877929688,144.17999267578125,489.239990234375,2597.68505859375,43.704002380371094
2024-01-02 16:30:00+00:00,,143.89999389648438,652.6500244140625,345.58990478515625,219.9949951171875,141.02000427246094,143.57000732421875,488.07501220703125,2582.760009765625,43.77399826049805
2024-01-02 17:30:00+00:00,,143.52999877929688,651.719970703125,345.114990234375,219.69000244140625,141.32550048828125,143.5500030517578,486.44000244140625,2580.3701171875,43.74599838256836
2024-01-02 18:30:00+00:00,,143.1999969482422,651.2080078125,344.739990234375,219.5500030517578,141.139892578125,143.21499633789062,486.6499938964844,2574.705078125,43.7760009765625
2024-01-02 19:30:00+00:00,,142.47000122070312,650.0700073242188,343.8699951171875,218.85000610351562,140.94000244140625,142.77000427246094,485.3429870605469,2571.35009765625,43.44499969482422
2024-01-02 20:30:00+00:00,,143.10000610351562,651.0599975585938,345.0799865722656,218.74000549316406,140.4499969482422,142.52000427246094,486.8900146484375,2569.820068359375,43.30400085449219
2024-01-03 14:30:00+00:00,,139.6529998779297,653.375,339.3800048828125,215.02000427246094,135.59500122070312,139.7899932861328,479.75,2601.080078125,42.68199920654297
2024-01-03 15:30:00+00:00,,139.93499755859375,651.5900268554688,337.4599914550781,213.39500427246094,135.11000061035156,138.9499969482422,476.1600036621094,2608.35009765625,42.4640007019043
2024-01-03 16:30:00+00:00,,140.02000427246094,649.3200073242188,338.04998779296875,213.5399932861328,134.8000030517578,138.9550018310547,477.1400146484375,2608.389892578125,42.68000030517578
