Pair,PnL_total,PnL_moyen,Nb_trades,Poids,Win_rate
COIN-SOFI,795.2074076888237,265.06913589627453,3,0.1335516601384621,100.0
HUM-AFL,559.5897442024153,93.26495736706921,6,0.1197580486013329,100.0
AMZN-INTC,490.0810494993828,122.5202623748457,4,0.1061869049425474,100.0
META-INTC,447.25325533379043,111.81331383344761,4,0.116248355787594,100.0
SOFI-AFRM,434.8587792220995,108.71469480552487,4,0.0944016450980118,100.0
SPOT-IMAX,379.5371696837376,63.2561949472896,6,0.0927398902323441,100.0
NEE-PLUG,333.6511284654209,83.41278211635523,4,0.0874507315263428,100.0
WBD-LYV,331.3989221445239,66.27978442890478,5,0.0816286310943368,100.0
COIN-AFRM,322.39947948397565,161.19973974198783,2,0.0838823122542405,100.0
NET-CRWD,318.8240890772372,63.764817815447444,5,0.0841518203247871,100.0
