Pair,Sharpe_Static,Sharpe_WF,MaxDD_Static,MaxDD_WF,FinalPnL_Static,FinalPnL_WF,ΔSharpe
AAPL-ADBE,-0.1979611351550959,0.5706673147351949,2274.1115788613183,1347.9840081125635,-589.6677729684703,1339.8669590695301,0.7686284498902909
AAPL-AMZN,0.4496612402241034,-0.5048580261469461,768.6897430379736,1937.260207471219,915.2541420919868,-1186.422993155357,-0.9545192663710496
AAPL-CSCO,-0.2938123566537569,0.5682115851214266,1519.1038109828432,372.1967641871178,-805.1539124986552,551.9180900129664,0.8620239417751834
AAPL-GOOGL,0.8413468892230377,0.0,857.8882120758877,0.0,1765.0254274726713,0.0,-0.8413468892230377
AAPL-INTC,-0.7500783030110098,1.030575526740551,3163.4684682440184,663.8360165939725,-2006.3490038224636,1717.166418615246,1.7806538297515608
AAPL-META,0.32521893364009224,-0.10028727687299707,1563.0000008183683,3651.293915341568,803.1986689233554,-336.08586595902943,-0.42550621051308934
AAPL-MSFT,-0.49905178539253586,0.43811156812099306,2212.126521866163,955.3358342416274,-1266.8038824948717,648.5766256088993,0.9371633535135289
AAPL-NVDA,-0.005952437508939849,-0.4232315064396861,2047.576605802636,2785.6173192878923,-12.776430962657201,-1359.4208212832725,-0.41727906893074623
AAPL-TSLA,-0.022522582350297644,-0.6715392694761227,1295.116543968208,2684.5225354258264,-66.89232625781113,-1514.6425797067893,-0.649016687125825
ADBE-CSCO,-0.15755056210214963,0.0,902.766205117026,0.0,-257.7151292295813,0.0,0.15755056210214963
ADBE-INTC,-0.19357518315232572,0.0,1986.5333484324906,0.0,-575.9974189013725,0.0,0.19357518315232572
AMZN-ADBE,-0.09243598914952555,0.4600484342820757,2005.4837314431143,706.971358555881,-206.06664182476112,642.9736790824403,0.5524844234316013
AMZN-CSCO,0.3935127754464287,-0.23273160104061813,843.6543326284362,1778.8093119968437,668.826098619687,-504.407537086101,-0.6262443764870469
AMZN-INTC,1.4047875196312969,0.0,970.455766465649,0.0,4028.2894678632792,0.0,-1.4047875196312969
AMZN-META,0.6205749901486688,0.030790846636749445,862.937095043801,1541.6048197716602,1134.1188130622056,70.90268317222669,-0.5897841435119193
AMZN-NVDA,0.544579553616277,-0.4967863981856041,1374.229130025466,2857.9395772684225,1133.2495734883792,-1503.4418513011,-1.0413659518018812
AMZN-TSLA,0.376726188679787,0.5926588056392398,758.6296103270653,3910.950182955437,789.098729006311,2855.027110397456,0.21593261695945276
GOOGL-ADBE,0.10085580882227944,1.5237596394811848,1191.390624211554,863.5471413145681,177.95014417199326,3607.121409229461,1.4229038306589052
GOOGL-AMZN,0.7175550453138634,-1.0264502629602448,496.58603930804804,774.2983911821167,710.9219864154084,-667.7882537953006,-1.744005308274108
GOOGL-CSCO,0.5408231868016198,-0.4813593757358511,711.7622366123561,2329.296655434695,823.3955370103172,-1071.2629123942756,-1.0221825625374708
GOOGL-INTC,0.8890524855162826,0.0,974.9626276107601,0.0,1767.3521666600611,0.0,-0.8890524855162826
