Pair,Sharpe_Static,Sharpe_WF,MaxDD_Static,MaxDD_WF,FinalPnL_Static,FinalPnL_WF,ΔSharpe
BAC-BNPQY,0.0246932505070238,1.4558685201317236,1433.4966243960873,543.7352987672897,52.65631828706677,2388.779054538569,1.4311752696246998
BAC-C,0.8605640302057245,-1.6383303618481642,584.81071027499,940.423634539586,941.4437537950994,-878.5671882154811,-2.498894392053889
BAC-DB,-0.04004923777707074,0.0,1628.1752518001836,0.0,-92.42045529599017,0.0,0.04004923777707074
BAC-HSBC,0.17587680407881748,-0.1820671606265128,1196.2722956064474,1335.522530340847,306.38795120546104,-260.1402111843561,-0.3579439647053303
BAC-SAN,0.04176163412552089,-1.7386385942912221,1721.8932051892652,3946.495774538411,101.9809657010575,-3770.050591154942,-1.780400228416743
BAC-UBS,0.879119424092596,-0.3211694671187609,468.6570483767964,1007.1035977399789,1068.9732195196698,-414.5801415550998,-1.200288891211357
BNPQY-DB,-0.06297179285339041,-1.3232596564293866,1137.6388731760112,2473.667573254366,-81.32112101685772,-1979.8703027747438,-1.2602878635759962
BNPQY-SAN,0.5943218917640279,-0.13119038704683567,682.9610631003495,835.9696039682246,645.2649695678723,-125.67163513090753,-0.7255122788108637
BNPQY-UBS,-0.214803732888568,-1.5631116549658959,1004.0937451794613,3720.5642167120877,-383.71802056390203,-3114.2983166986505,-1.348307922077328
C-BNPQY,-0.2536349386274503,0.7006589420381988,1661.1415392819579,1293.1379820439836,-425.7017816368384,1285.154937934674,0.9542938806656491
C-DB,0.05747758334061112,-1.0865326285759167,1443.1613613044863,2435.3736490315396,138.67638750224313,-1653.8234494790984,-1.1440102119165279
C-HSBC,0.5509782338856737,-0.7500125966216785,554.458218753321,1734.3169014234397,725.2609614114588,-910.4551543427846,-1.3009908305073523
C-SAN,0.39362400164892836,-1.3869053268501874,1846.9973324342368,2230.4292989125743,970.4851585782174,-1741.2151973371258,-1.7805293284991157
C-UBS,0.8174289853664574,0.4284036477435824,501.12201879001907,1214.6649732200292,985.3963056361347,854.7615303699541,-0.38902533762287494
DB-UBS,-0.1387139072959547,1.6982163359005105,1343.131735945128,612.6455634496938,-209.97273177258896,2240.7549544356334,1.8369302431964651
GS-BAC,0.8644422220658876,0.0,628.6270942993633,0.0,853.5969230199398,0.0,-0.8644422220658876
GS-BNPQY,-0.4436425107205668,0.9021639481808053,1780.518308650962,1307.938932252312,-850.5137298363543,1644.2072162992147,1.345806458901372
