Pair,Mode,Sharpe,MaxDD,FinalPnL,PnL_Latent,PnL_Total,Trades,Universe
AAPL-MSFT,Static,-0.4990517853925358,2212.126521866163,-1266.8038824948717,0.0,-1266.8038824948717,3,BIG_TECH
AAPL-MSFT,WF,0.438111568120993,955.3358342416274,648.5766256088993,1012.7723093128784,1661.348934921778,1,BIG_TECH
AAPL-GOOGL,Static,0.8413468892230377,857.8882120758877,1765.0254274726713,0.0,1765.0254274726713,7,BIG_TECH
AAPL-GOOGL,WF,0.0,0.0,0.0,29.27833659820476,29.27833659820476,0,BIG_TECH
AAPL-AMZN,Static,0.4496612402241034,768.6897430379736,915.2541420919868,-119.66080439660824,795.5933376953785,4,BIG_TECH
AAPL-AMZN,WF,-0.5048580261469461,1937.260207471219,-1186.422993155357,-1757.6076083371593,-2944.0306014925163,1,BIG_TECH
AAPL-META,Static,0.3252189336400922,1563.0000008183683,803.1986689233554,3.684404053728173,806.8830729770835,4,BIG_TECH
AAPL-META,WF,-0.100287276872997,3651.293915341568,-336.08586595902943,-2089.3915766658465,-2425.477442624876,1,BIG_TECH
AAPL-NVDA,Static,-0.0059524375089398,2047.576605802636,-12.7764309626572,107.59130952232618,94.81487855966898,3,BIG_TECH
AAPL-NVDA,WF,-0.4232315064396861,2785.6173192878923,-1359.4208212832723,-1373.9103080729456,-2733.3311293562183,1,BIG_TECH
AAPL-TSLA,Static,-0.0225225823502976,1295.116543968208,-66.89232625781113,0.0,-66.89232625781113,3,BIG_TECH
AAPL-TSLA,WF,-0.6715392694761227,2684.5225354258264,-1514.642579706789,-188.31659143369097,-1702.9591711404803,1,BIG_TECH
AAPL-ADBE,Static,-0.1979611351550959,2274.1115788613183,-589.6677729684703,-124.28209985991346,-713.9498728283838,2,BIG_TECH
AAPL-ADBE,WF,0.5706673147351949,1347.9840081125635,1339.86695906953,0.0,1339.86695906953,1,BIG_TECH
AAPL-INTC,Static,-0.7500783030110098,3163.4684682440184,-2006.349003822464,-438.0721079906212,-2444.4211118130847,3,BIG_TECH
AAPL-INTC,WF,1.030575526740551,663.8360165939725,1717.166418615246,0.0,1717.166418615246,2,BIG_TECH
AAPL-CSCO,Static,-0.2938123566537569,1519.1038109828432,-805.1539124986552,-22.95185046172208,-828.1057629603773,4,BIG_TECH
AAPL-CSCO,WF,0.5682115851214266,372.1967641871178,551.9180900129664,-1951.4751850264613,-1399.5570950134947,1,BIG_TECH
MSFT-GOOGL,Static,-0.2505282228106811,1316.229917662905,-432.0023248150016,0.0,-432.0023248150016,4,BIG_TECH
MSFT-GOOGL,WF,-0.0973240416282811,661.4077083013252,-113.40717490040709,-1102.3040068303874,-1215.7111817307946,1,BIG_TECH
MSFT-AMZN,Static,-0.2437847689012364,1570.1635272023495,-393.1518754420071,0.0,-393.1518754420071,3,BIG_TECH
MSFT-AMZN,WF,-0.770672305676403,2021.41994982382,-1272.8983198670846,340.1677146941667,-932.730605172918,1,BIG_TECH
MSFT-META,Static,0.2080386830344994,960.1718842055882,336.6109699420167,-23.546006890317543,313.0649630516992,4,BIG_TECH
MSFT-META,WF,-0.3730125386786068,2189.771349804347,-798.2287341858513,285.16634863507875,-513.0623855507725,2,BIG_TECH
MSFT-NVDA,Static,0.4192072185754087,670.6168184799174,714.4461720918672,-401.85392642331294,312.59224566855426,4,BIG_TECH
MSFT-NVDA,WF,-0.4868616212979561,1178.0866292433989,-788.3880407731117,-266.69384152170744,-1055.081882294819,2,BIG_TECH
MSFT-TSLA,Static,0.5390989851216804,1446.405066226367,1560.7837896260994,0.0,1560.7837896260994,2,BIG_TECH
MSFT-TSLA,WF,-0.5820558217900162,2525.9108618615774,-1488.6330980860205,-13.083923422656769,-1501.7170215086771,2,BIG_TECH
MSFT-ADBE,Static,0.9204513437591002,625.0903773472531,1661.2867332739816,0.0,1661.2867332739816,3,BIG_TECH
MSFT-ADBE,WF,1.1904140788482325,1009.580325480612,2735.490284095486,-268.0039000756851,2467.486384019801,1,BIG_TECH
MSFT-INTC,Static,0.3834677728418549,590.5471624218166,317.41460580934114,2843.6439681507795,3161.0585739601206,1,BIG_TECH
MSFT-INTC,WF,0.9365719341485998,920.2933297894748,1983.9028601569053,-237.9778926132153,1745.9249675436904,1,BIG_TECH
MSFT-CSCO,Static,0.4218846369079866,527.7633821018719,317.3194845813799,1572.0416394089525,1889.3611239903323,1,BIG_TECH
MSFT-CSCO,WF,-0.1297213918009735,2074.9603980470088,-270.29227253865554,-305.5326244945371,-575.8248970331927,2,BIG_TECH
GOOGL-AMZN,Static,0.7175550453138634,496.586039308048,710.9219864154084,-1390.3718557814611,-679.4498693660528,3,BIG_TECH
GOOGL-AMZN,WF,-1.0264502629602448,774.2983911821167,-667.7882537953006,280.56965306718337,-387.2186007281173,1,BIG_TECH
GOOGL-META,Static,0.779838036228048,250.0834952527628,635.1390968872662,-1289.1540213199494,-654.0149244326832,1,BIG_TECH
GOOGL-META,WF,-0.5076117288426012,1728.4649013563958,-996.8185722092136,0.0,-996.8185722092136,2,BIG_TECH
GOOGL-NVDA,Static,0.820485588521202,1089.7849302424183,1232.4652509293264,-623.2025136548208,609.2627372745056,2,BIG_TECH
GOOGL-NVDA,WF,-0.3621234565745553,578.632859608849,-331.9626496744627,0.0,-331.9626496744627,1,BIG_TECH
GOOGL-TSLA,Static,0.6686262462452697,768.1665367917769,1262.918305455206,-1144.4581034380749,118.460202017131,4,BIG_TECH
GOOGL-TSLA,WF,-0.05490608280715,2595.4928729442445,-200.58452543887668,379.9284108389976,179.3438854001209,1,BIG_TECH
GOOGL-ADBE,Static,0.1008558088222794,1191.390624211554,177.95014417199326,-561.5602428838481,-383.6100987118549,3,BIG_TECH
GOOGL-ADBE,WF,1.5237596394811848,863.5471413145681,3607.121409229461,0.0,3607.121409229461,2,BIG_TECH
GOOGL-INTC,Static,0.8890524855162826,974.96262761076,1767.3521666600611,-1457.3780507837475,309.9741158763136,2,BIG_TECH
GOOGL-INTC,WF,0.0,0.0,0.0,-822.4981879787264,-822.4981879787264,0,BIG_TECH
GOOGL-CSCO,Static,0.5408231868016198,711.7622366123561,823.3955370103172,-467.3608604377861,356.03467657253105,2,BIG_TECH
GOOGL-CSCO,WF,-0.4813593757358511,2329.296655434695,-1071.2629123942756,0.0,-1071.2629123942756,1,BIG_TECH
AMZN-META,Static,0.6205749901486688,862.937095043801,1134.1188130622056,0.0,1134.1188130622056,4,BIG_TECH
AMZN-META,WF,0.0307908466367494,1541.6048197716602,70.90268317222669,332.9992077219564,403.9018908941831,2,BIG_TECH
AMZN-NVDA,Static,0.544579553616277,1374.229130025466,1133.2495734883792,0.0,1133.2495734883792,4,BIG_TECH
AMZN-NVDA,WF,-0.4967863981856041,2857.9395772684225,-1503.4418513011,55.40544419245839,-1448.0364071086417,2,BIG_TECH
AMZN-TSLA,Static,0.376726188679787,758.6296103270653,789.098729006311,0.0,789.098729006311,3,BIG_TECH
AMZN-TSLA,WF,0.5926588056392398,3910.950182955437,2855.027110397456,-179.16974253052842,2675.857367866928,1,BIG_TECH
AMZN-ADBE,Static,-0.0924359891495255,2005.4837314431145,-206.06664182476112,0.0,-206.06664182476112,4,BIG_TECH
AMZN-ADBE,WF,0.4600484342820757,706.971358555881,642.9736790824403,0.0,642.9736790824403,1,BIG_TECH
AMZN-INTC,Static,1.4047875196312969,970.455766465649,4028.2894678632792,0.0,4028.2894678632792,4,BIG_TECH
AMZN-INTC,WF,0.0,0.0,0.0,1480.74236740359,1480.74236740359,0,BIG_TECH
AMZN-CSCO,Static,0.3935127754464287,843.6543326284362,668.826098619687,0.0,668.826098619687,2,BIG_TECH
AMZN-CSCO,WF,-0.2327316010406181,1778.8093119968437,-504.407537086101,0.0,-504.407537086101,1,BIG_TECH
META-NVDA,Static,0.3998172267759634,1307.5455287348018,858.5783498364407,281.73736357686,1140.3157134133007,3,BIG_TECH
META-NVDA,WF,0.0,0.0,0.0,-733.5966780851346,-733.5966780851346,0,BIG_TECH
META-TSLA,Static,0.4343254944641369,1349.945429809461,1138.840215834332,0.0,1138.840215834332,3,BIG_TECH
META-TSLA,WF,0.0,0.0,0.0,1819.713543153036,1819.713543153036,0,BIG_TECH
META-ADBE,Static,0.304543591244423,1320.164481597224,520.8368672596534,0.0,520.8368672596534,4,BIG_TECH
META-ADBE,WF,-0.5337491657852552,1704.5853756653134,-814.7527497535524,0.0,-814.7527497535524,1,BIG_TECH
META-INTC,Static,1.7332276102535078,645.9597233527286,4270.772082082942,1870.4481700741112,6141.2202521570525,4,BIG_TECH
META-INTC,WF,0.5148439447331891,1673.9920772154042,1180.2891849054702,1881.0178582846609,3061.3070431901306,1,BIG_TECH
META-CSCO,Static,1.0378321381058813,507.1112654395853,1156.3473493982087,0.0,1156.3473493982087,4,BIG_TECH
META-CSCO,WF,0.322759661839866,2273.373536309018,841.1426733945368,-183.660666507404,657.4820068871328,1,BIG_TECH
NVDA-TSLA,Static,0.5414565588162604,1505.345399181279,1527.412617598772,0.0,1527.412617598772,3,BIG_TECH
NVDA-TSLA,WF,0.41368047716539,3530.1316057323284,2650.3828859111286,-902.2131598288536,1748.1697260822748,1,BIG_TECH
NVDA-ADBE,Static,0.9244341919783924,741.1249195808804,2298.698495298316,0.0,2298.698495298316,4,BIG_TECH
NVDA-ADBE,WF,2.310290175207969,515.1060756502789,4626.290940669802,0.0,4626.290940669802,1,BIG_TECH
NVDA-INTC,Static,0.9579059505004284,795.8216123834609,2055.703079211733,1314.07178400074,3369.774863212473,2,BIG_TECH
NVDA-INTC,WF,1.1101549548710674,405.5371793565412,1626.1898256535662,2296.663211405676,3922.8530370592416,1,BIG_TECH
NVDA-CSCO,Static,0.1994957455353847,1242.572308018467,471.1131845070423,304.45833145449126,775.5715159615336,2,BIG_TECH
NVDA-CSCO,WF,-0.5573469837921301,2066.428245523818,-1037.424458298821,0.0,-1037.424458298821,1,BIG_TECH
TSLA-ADBE,Static,0.2653174799261322,3339.463698059929,976.2265014684608,0.0,976.2265014684608,3,BIG_TECH
TSLA-ADBE,WF,-0.2393918298887745,3888.624077522891,-1034.7259440347302,0.0,-1034.7259440347302,1,BIG_TECH
TSLA-INTC,Static,-0.3720106536486094,5013.224809803124,-1392.0248652164396,1073.4910812474568,-318.5337839689828,1,BIG_TECH
TSLA-INTC,WF,0.0,0.0,0.0,-44.585044558404434,-44.585044558404434,0,BIG_TECH
TSLA-CSCO,Static,0.3942818775425229,1091.6881277412267,902.1322370064576,253.4828873260389,1155.6151243324964,3,BIG_TECH
TSLA-CSCO,WF,-0.5116802673324411,1747.8215753331729,-738.3175486672499,0.0,-738.3175486672499,1,BIG_TECH
ADBE-INTC,Static,-0.1935751831523257,1986.5333484324904,-575.9974189013725,-345.2025791712066,-921.1999980725792,2,BIG_TECH
ADBE-INTC,WF,0.0,0.0,0.0,-1339.3127930221397,-1339.3127930221397,0,BIG_TECH
ADBE-CSCO,Static,-0.1575505621021496,902.766205117026,-257.7151292295813,0.0,-257.7151292295813,2,BIG_TECH
ADBE-CSCO,WF,0.0,0.0,0.0,2662.472377501816,2662.472377501816,0,BIG_TECH
INTC-CSCO,Static,-0.1989139046267434,2817.384657127189,-725.4182817315339,-2107.20227772315,-2832.620559454684,3,BIG_TECH
INTC-CSCO,WF,0.2726663723818814,2072.3104125449804,1012.324669663897,2156.244752842724,3168.5694225066213,1,BIG_TECH
NVDA-AMD,Static,0.5927340578877409,1795.9345190399251,2779.8110343856265,-725.3898381726898,2054.4211962129366,2,SEMICONDUCTORS
NVDA-AMD,WF,-0.0043469591595717,3728.609493810887,-20.27559285719097,0.0,-20.27559285719097,1,SEMICONDUCTORS
NVDA-INTC,Static,0.9579059505004284,795.8216123834609,2055.703079211733,1314.07178400074,3369.774863212473,2,SEMICONDUCTORS
NVDA-INTC,WF,1.1101549548710674,405.5371793565412,1626.1898256535662,2296.663211405676,3922.8530370592416,1,SEMICONDUCTORS
NVDA-TSM,Static,0.9302599839887784,897.3096351287454,1460.8883675176698,-298.3501196291321,1162.5382478885376,4,SEMICONDUCTORS
NVDA-TSM,WF,0.4392080130368767,1691.8277995600597,1010.0014552839972,388.2607963299416,1398.2622516139388,1,SEMICONDUCTORS
NVDA-ASML,Static,0.3227899351118168,1578.6291742182375,992.0996178707196,16.584453771916287,1008.684071642636,2,SEMICONDUCTORS
NVDA-ASML,WF,0.0071353415761451,1846.3620328587965,21.70153046829001,1240.3020542051918,1262.0035846734818,1,SEMICONDUCTORS
NVDA-AVGO,Static,0.4761595783495398,1202.266985769737,1340.1078867040828,0.0,1340.1078867040828,4,SEMICONDUCTORS
NVDA-AVGO,WF,0.0,0.0,0.0,1294.1117954791898,1294.1117954791898,0,SEMICONDUCTORS
NVDA-QCOM,Static,0.6862735073603717,1399.1454014300857,2475.002262993833,-563.6817722541138,1911.32049073972,3,SEMICONDUCTORS
NVDA-QCOM,WF,0.0,0.0,0.0,-899.7734611200331,-899.7734611200331,0,SEMICONDUCTORS
NVDA-MU,Static,0.2204896222537211,1654.603121678939,512.585219865493,28.47959569804385,541.0648155635367,2,SEMICONDUCTORS
NVDA-MU,WF,-0.1915188786084291,2356.975137669729,-481.5182293368474,-1019.362926959688,-1500.8811562965357,1,SEMICONDUCTORS
NVDA-LRCX,Static,-0.1995781458581888,2825.012205981314,-603.4520982902577,0.0,-603.4520982902577,2,SEMICONDUCTORS
NVDA-LRCX,WF,-0.1828785047820655,2029.3866743210529,-523.9500831485777,-246.6072787924701,-770.5573619410479,1,SEMICONDUCTORS
NVDA-AMAT,Static,0.5498166273817179,1832.658091169224,2027.233170463544,-396.50839501274464,1630.7247754507991,2,SEMICONDUCTORS
NVDA-AMAT,WF,0.0,0.0,0.0,80.41348763229576,80.41348763229576,0,SEMICONDUCTORS
AMD-INTC,Static,0.0170003234454666,3037.3840941690773,71.32712403455889,0.0,71.32712403455889,3,SEMICONDUCTORS
AMD-INTC,WF,0.5165879554539743,3369.5149647844,1973.4821969936904,-289.21418312214246,1684.2680138715482,1,SEMICONDUCTORS
AMD-TSM,Static,0.2250746126160917,4713.0931170065,1016.0451478659348,-4517.870269682188,-3501.8251218162536,3,SEMICONDUCTORS
AMD-TSM,WF,-1.0053812509434994,5360.434883958664,-3492.9657124302857,4026.359181887021,533.3934694567356,1,SEMICONDUCTORS
AMD-ASML,Static,0.6631105253786821,1656.2740587174385,1824.3782936647888,0.0,1824.3782936647888,4,SEMICONDUCTORS
AMD-ASML,WF,0.7227471643745571,1478.6133499816012,2366.5686898028634,0.0,2366.5686898028634,1,SEMICONDUCTORS
AMD-AVGO,Static,0.1313196185330175,3866.999177809994,552.0865166118008,-4427.207998041916,-3875.121481430114,3,SEMICONDUCTORS
AMD-AVGO,WF,-1.14906761764332,4930.873227032232,-3681.5752269670616,4271.948182233907,590.3729552668451,1,SEMICONDUCTORS
AMD-QCOM,Static,0.3488918722003012,1065.4656030546148,691.7592988555903,-2917.1839489125546,-2225.4246500569643,2,SEMICONDUCTORS
AMD-QCOM,WF,0.6381759046529526,2673.581550262851,3008.688976584728,0.0,3008.688976584728,1,SEMICONDUCTORS
AMD-MU,Static,0.304394336205349,2252.1737521481027,969.1721620072294,0.0,969.1721620072294,3,SEMICONDUCTORS
AMD-MU,WF,0.321566311947392,3376.997892019582,1760.6723694931932,0.0,1760.6723694931932,1,SEMICONDUCTORS
AMD-LRCX,Static,0.473751378141568,1445.5373690402237,1212.970471155647,0.0,1212.970471155647,4,SEMICONDUCTORS
AMD-LRCX,WF,1.0632912583324587,1071.159105571654,2409.8436836059736,0.0,2409.8436836059736,1,SEMICONDUCTORS
AMD-AMAT,Static,0.1754385276567346,1705.5243688065138,438.0370584128286,176.10982176062478,614.1468801734534,3,SEMICONDUCTORS
AMD-AMAT,WF,0.6392829389451006,1982.6964896143056,2293.76597489556,0.0,2293.76597489556,1,SEMICONDUCTORS
INTC-TSM,Static,-0.4734876401875753,3597.591983207813,-2035.6127134339656,-2266.4411215342,-4302.053834968166,3,SEMICONDUCTORS
INTC-TSM,WF,0.1623840475654802,2274.5125149906644,502.17523567176846,2978.2146872953404,3480.3899229671088,1,SEMICONDUCTORS
INTC-ASML,Static,0.935018581756398,376.0712188588233,1185.103318244962,418.91797413300935,1604.0212923779711,1,SEMICONDUCTORS
INTC-ASML,WF,0.6520370621157722,2746.9590095835392,4320.538160649196,0.0,4320.538160649196,1,SEMICONDUCTORS
INTC-AVGO,Static,-0.2406541525043986,3746.197783795198,-1206.6895029065258,-3587.0271841924537,-4793.71668709898,4,SEMICONDUCTORS
INTC-AVGO,WF,0.9433247516067106,1155.0770316303135,2696.3180808110374,3977.741236349738,6674.059317160775,1,SEMICONDUCTORS
INTC-QCOM,Static,-0.2526929436144904,3188.3540977636,-1128.1632976933472,-2711.8655357405023,-3840.028833433849,2,SEMICONDUCTORS
INTC-QCOM,WF,0.0,0.0,0.0,6007.028046449925,6007.028046449925,0,SEMICONDUCTORS
INTC-MU,Static,-0.3029327934023709,3479.3206838646543,-1566.953619066167,-859.1764249687955,-2426.1300440349623,2,SEMICONDUCTORS
INTC-MU,WF,-0.3968269322757877,1945.5050199968937,-897.0748640016689,0.0,-897.0748640016689,1,SEMICONDUCTORS
INTC-LRCX,Static,0.0703005064893491,2708.258520304771,260.1022168935478,0.0,260.1022168935478,3,SEMICONDUCTORS
INTC-LRCX,WF,0.0727970109649071,4021.6063788539086,535.5499397900784,-1420.4375451810915,-884.8876053910132,1,SEMICONDUCTORS
INTC-AMAT,Static,0.4037162341676101,1182.1294632518982,1034.677433041713,-177.808107741301,856.8693253004117,2,SEMICONDUCTORS
INTC-AMAT,WF,0.3566351575426309,2782.0785516033206,2132.842823402849,0.0,2132.842823402849,1,SEMICONDUCTORS
TSM-ASML,Static,0.3827635009732697,1445.0928099011967,1270.3207603916426,-1383.9266188185427,-113.60585842690011,4,SEMICONDUCTORS
TSM-ASML,WF,-0.4560911642840577,2156.202080995989,-1194.9433830888058,-362.15042894495855,-1557.0938120337644,1,SEMICONDUCTORS
TSM-AVGO,Static,0.6626304255125086,642.3819449757611,1425.9522500910432,-130.5774742191499,1295.3747758718932,6,SEMICONDUCTORS
TSM-AVGO,WF,0.73800736222572,1224.8074683426214,1958.4113622161915,556.5503971321152,2514.9617593483063,1,SEMICONDUCTORS
TSM-QCOM,Static,0.3474344565822437,1901.59711339937,1418.602329111745,-1816.266793568073,-397.6644644563282,3,SEMICONDUCTORS
TSM-QCOM,WF,0.0,0.0,0.0,-2194.00652009048,-2194.00652009048,0,SEMICONDUCTORS
TSM-MU,Static,-0.4549220644440021,2374.1962930234554,-1306.5894436829387,0.0,-1306.5894436829387,2,SEMICONDUCTORS
TSM-MU,WF,-0.7197807400596764,2523.495109296176,-2379.8265935496343,-235.350120864734,-2615.176714414368,1,SEMICONDUCTORS
TSM-LRCX,Static,-0.5156999484824457,3094.675808411711,-1549.4506288255648,0.0,-1549.4506288255648,2,SEMICONDUCTORS
TSM-LRCX,WF,-0.2496164347555271,1785.984695348665,-620.8318782330615,1794.7033217951105,1173.871443562049,1,SEMICONDUCTORS
TSM-AMAT,Static,0.4572649999444799,1746.288554582202,1759.4027335917178,-1691.5011363804065,67.90159721131158,3,SEMICONDUCTORS
TSM-AMAT,WF,0.2909433849549095,498.56987971652615,242.3758874356295,-1632.2053186086289,-1389.8294311729994,1,SEMICONDUCTORS
ASML-AVGO,Static,0.1069916997721926,2278.678751350987,426.86725640784766,-1712.2613803778845,-1285.3941239700368,4,SEMICONDUCTORS
ASML-AVGO,WF,1.2006313821872605,2217.745951982238,4467.606037820799,313.6477686857034,4781.253806506503,1,SEMICONDUCTORS
ASML-QCOM,Static,0.0080755007662019,1100.2747665298998,13.394179752922014,-705.8533919992203,-692.4592122462983,2,SEMICONDUCTORS
ASML-QCOM,WF,0.5807778900371319,1028.602171106838,1217.40055754647,0.0,1217.40055754647,1,SEMICONDUCTORS
ASML-MU,Static,-0.1956570980717628,2388.9733881727657,-551.3004842319572,0.0,-551.3004842319572,3,SEMICONDUCTORS
ASML-MU,WF,-0.3129798718187133,1440.312262623224,-565.3493667462832,247.4296918731348,-317.9196748731484,1,SEMICONDUCTORS
ASML-LRCX,Static,-0.0237389407925901,1346.168462660236,-45.33264368218779,0.0,-45.33264368218779,3,SEMICONDUCTORS
ASML-LRCX,WF,0.689878798503971,584.0758976174552,843.1181418979812,80.66801891240311,923.7861608103844,1,SEMICONDUCTORS
ASML-AMAT,Static,0.3345312996597341,1241.9777460626294,571.1234512446663,0.0,571.1234512446663,2,SEMICONDUCTORS
ASML-AMAT,WF,0.6416277142612163,592.7612562296188,689.3205363465349,0.0,689.3205363465349,1,SEMICONDUCTORS
AVGO-QCOM,Static,0.0434641645962214,2765.710824608805,163.96690536336524,394.04266509071925,558.0095704540845,3,SEMICONDUCTORS
AVGO-QCOM,WF,0.0,0.0,0.0,-2792.511932202542,-2792.511932202542,0,SEMICONDUCTORS
AVGO-MU,Static,0.028671918161903,2340.139795990686,103.06455839878184,0.0,103.06455839878184,3,SEMICONDUCTORS
AVGO-MU,WF,-0.5565865867788294,3756.764181199425,-1713.3530383751531,-530.7884248588177,-2244.141463233971,1,SEMICONDUCTORS
AVGO-LRCX,Static,-0.5043932200374411,4483.924609672246,-2006.4918027943177,0.0,-2006.4918027943177,2,SEMICONDUCTORS
AVGO-LRCX,WF,0.7743397907246966,2508.683053137732,2942.663278508961,871.978903835037,3814.642182343998,1,SEMICONDUCTORS
AVGO-AMAT,Static,0.1021612551722103,2707.8489840092548,432.4020579975038,1269.1970177147143,1701.5990757122183,3,SEMICONDUCTORS
AVGO-AMAT,WF,0.596385699594539,567.1316565539662,694.3635958010681,-6127.781830815734,-5433.418235014666,1,SEMICONDUCTORS
QCOM-MU,Static,0.5828871568238785,1083.002686834971,1459.3203829303034,56.36958305174397,1515.6899659820474,4,SEMICONDUCTORS
QCOM-MU,WF,0.8223535983539625,192.3611568103513,779.8868835507606,-1745.3691288925347,-965.4822453417742,1,SEMICONDUCTORS
QCOM-LRCX,Static,0.4861471065352275,1442.3828583249651,1144.006504359467,0.0,1144.006504359467,3,SEMICONDUCTORS
QCOM-LRCX,WF,0.0,0.0,0.0,835.549046818673,835.549046818673,0,SEMICONDUCTORS
QCOM-AMAT,Static,0.9233469672835034,577.764675866374,1531.4207925658434,248.49027583007967,1779.9110683959232,5,SEMICONDUCTORS
QCOM-AMAT,WF,0.4749973845364966,1164.674894157403,758.4185284572918,0.0,758.4185284572918,1,SEMICONDUCTORS
MU-LRCX,Static,0.679114274050279,559.6959000305919,851.8642615419335,6.948616776668587,858.8128783186021,2,SEMICONDUCTORS
MU-LRCX,WF,0.4819434885590777,931.554356830998,944.9706003662486,0.0,944.9706003662486,1,SEMICONDUCTORS
