Pair,Mode,Sharpe,MaxDD,FinalPnL,PnL_Latent,PnL_Total,Trades,Universe
MU-AMAT,Static,0.7242753824122924,839.7151737598455,1160.8773819803216,-1478.4322717053872,-317.55488972506555,3,SEMICONDUCTORS
MU-AMAT,WF,0.0,0.0,0.0,-3200.5006721211626,-3200.5006721211626,0,SEMICONDUCTORS
LRCX-AMAT,Static,-0.1369583012523782,952.3576423032554,-146.32104644094,-2025.010474764623,-2171.331521205563,2,SEMICONDUCTORS
LRCX-AMAT,WF,0.8133872448806123,552.1533311577027,930.1971103117592,-2394.6298301740326,-1464.4327198622732,1,SEMICONDUCTORS
PYPL-V,Static,0.1034654554903235,2219.4394778972533,323.73523462365245,0.0,323.73523462365245,3,FINTECH
PYPL-V,WF,-0.7081731843644802,2600.387557360674,-1434.5402349619042,0.0,-1434.5402349619042,2,FINTECH
PYPL-MA,Static,0.0278958693582505,1894.7434711165613,71.41375193800947,0.0,71.41375193800947,2,FINTECH
PYPL-MA,WF,-0.3090811200711588,2476.93629716102,-670.3002931484779,78.61680024908708,-591.6834928993908,1,FINTECH
PYPL-AXP,Static,0.5563189812400238,1090.8850841761305,1407.8261113791302,21.68169554237161,1429.507806921502,4,FINTECH
PYPL-AXP,WF,-0.3999680018708907,2295.366279805455,-896.9639764815727,798.630953936676,-98.33302254489672,1,FINTECH
PYPL-SHOP,Static,0.3459217055748559,2067.72423190811,1244.7830280961352,262.7208925886459,1507.5039206847812,4,FINTECH
PYPL-SHOP,WF,-0.7261685789510028,2592.2512621590995,-1893.1137416506065,472.1481717713807,-1420.9655698792255,1,FINTECH
PYPL-COIN,Static,0.1656718759046079,2052.155699571188,597.9787400362374,0.0,597.9787400362374,3,FINTECH
PYPL-COIN,WF,-0.9529779367009626,3329.6216181689315,-2582.8820075422145,-142.57445796495384,-2725.456465507169,2,FINTECH
PYPL-SOFI,Static,0.0561500730726055,1738.8541937466057,204.42390860781268,0.0,204.42390860781268,2,FINTECH
PYPL-SOFI,WF,0.4991518150987203,2091.032085109714,1500.3966000319936,209.58881586226192,1709.9854158942555,3,FINTECH
PYPL-AFRM,Static,0.2741437294417975,2145.4546735857502,1049.0846106561537,0.0,1049.0846106561537,3,FINTECH
PYPL-AFRM,WF,-0.3804503339679986,2731.139453234633,-996.2448509358092,-226.0867161834184,-1222.3315671192277,1,FINTECH
V-MA,Static,0.0760954425572024,384.1712794846164,54.68744131254249,0.0,54.68744131254249,3,FINTECH
V-MA,WF,-0.4804094411287283,1468.800748772344,-747.55982631464,0.0,-747.55982631464,1,FINTECH
V-AXP,Static,-0.1687579127222517,960.3090440732608,-213.0019160819493,-217.08729042748283,-430.0892065094321,2,FINTECH
V-AXP,WF,0.0,0.0,0.0,309.2341307952915,309.2341307952915,0,FINTECH
V-SHOP,Static,0.0573843085609611,1101.774526937608,101.51926087269644,41.85956597976096,143.3788268524574,2,FINTECH
V-SHOP,WF,0.0920562246230109,1742.4862339675617,219.5870875238249,0.0,219.5870875238249,1,FINTECH
V-COIN,Static,0.6981567784899774,1255.7708094614763,1535.8534063075367,0.0,1535.8534063075367,4,FINTECH
V-COIN,WF,-0.9364934005036988,3731.97245158731,-2823.358187029832,172.82415869469128,-2650.5340283351406,1,FINTECH
V-SOFI,Static,0.3196770057432785,1158.124682254438,630.1849792959886,-67.80759496348651,562.3773843325021,4,FINTECH
V-SOFI,WF,0.2665522886542225,4133.186506391507,914.7218580369456,0.0,914.7218580369456,2,FINTECH
V-AFRM,Static,0.0960038170933905,1562.116660847676,223.64673449856548,465.5745345891737,689.2212690877392,4,FINTECH
V-AFRM,WF,-0.2922181578850005,1872.6971986202,-594.3488290149207,0.0,-594.3488290149207,1,FINTECH
MA-AXP,Static,-0.0268397516540221,653.86998599802,-29.303553122098464,-170.47886543029,-199.7824185523885,2,FINTECH
MA-AXP,WF,0.0,0.0,0.0,-173.02264091691512,-173.02264091691512,0,FINTECH
MA-SHOP,Static,1.4768117098060067,504.16567862413535,2276.93862262473,-170.93684394902482,2106.0017786757053,7,FINTECH
MA-SHOP,WF,0.0,0.0,0.0,-462.68750418596574,-462.68750418596574,0,FINTECH
MA-COIN,Static,1.371321140834847,584.146237583418,2384.6737405767417,0.0,2384.6737405767417,4,FINTECH
MA-COIN,WF,-0.7884723773981306,2417.1391499815268,-1419.4956976670535,-293.7767763393309,-1713.2724740063843,2,FINTECH
MA-SOFI,Static,1.212233425696878,314.18522097308494,1463.6876267289035,77.16617793913186,1540.8538046680353,4,FINTECH
MA-SOFI,WF,-0.1784699789881778,1071.4529236680753,-341.957194167592,0.0,-341.957194167592,2,FINTECH
MA-AFRM,Static,1.1161778077952256,650.5346379267091,2169.101172279169,0.0,2169.101172279169,5,FINTECH
MA-AFRM,WF,0.0,0.0,0.0,146.917992789697,146.917992789697,0,FINTECH
AXP-SHOP,Static,0.7854386285135851,657.3611729821113,1217.4621628975226,0.0,1217.4621628975226,4,FINTECH
