Pair,Sharpe_Static,Sharpe_WF,MaxDD_Static,MaxDD_WF,FinalPnL_Static,FinalPnL_WF,ΔSharpe
CRM-CRWD,0.7727137831646669,-0.6497491705124155,1842.2289106891471,1584.284735222038,3094.6630305078024,-754.8238389118483,-1.4224629536770825
CRM-IBM,0.719534978421284,-0.9410706753474756,1866.0236627508398,2754.422654394473,3216.719813662159,-1863.7157627412607,-1.6606056537687595
CRM-NET,0.7527350614884465,0.0,1847.1248604120372,0.0,2665.0960860368236,0.0,-0.7527350614884465
CRM-NOW,0.042748631051364575,-0.8856888172865708,1391.0604303310788,2563.060029301924,119.53647808332325,-1622.616878934115,-0.9284374483379354
CRM-ORCL,0.38088771371089414,0.0,2103.8339923219146,0.0,1342.988614081556,0.0,-0.38088771371089414
CRM-PANW,0.7016094897627124,-0.605646465413877,1480.3231857292021,3146.289356847685,2103.594264751004,-1628.5151121805116,-1.3072559551765894
CRM-TEAM,0.05607761454414416,-0.3382561359781426,807.2669898895598,672.8822679220938,56.941938390515396,-292.8670513146776,-0.39433375052228675
CRM-ZS,0.5199085813101194,0.0,1652.43608205861,0.0,1765.3011869539573,0.0,-0.5199085813101194
CRWD-ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBM-CRWD,0.8964231251453187,0.0,1133.0120946560667,0.0,1868.401659031652,0.0,-0.8964231251453187
IBM-NET,-0.26138386371911393,-0.13150911283726474,1892.8432163772716,1097.8362039713254,-567.0480386279968,-183.96950881311741,0.1298747508818492
IBM-PANW,0.10204859555607083,0.0,791.6610066460917,0.0,164.66025807282884,0.0,-0.10204859555607083
IBM-ZS,0.2851243888728633,0.0,1307.1149932331055,0.0,564.7827507236954,0.0,-0.2851243888728633
NET-CRWD,1.2702516974504816,0.0,924.125830200825,0.0,3243.739911509701,0.0,-1.2702516974504816
NET-PANW,-0.03990306721430826,0.0,1560.7393965916808,0.0,-76.99848844590618,0.0,0.03990306721430826
NET-ZS,-0.16315657293157054,0.0,1885.6760452628964,0.0,-267.3092145665212,0.0,0.16315657293157054
NOW-CRWD,-0.1307434004853787,-1.2148993884872468,2804.9555529889817,5075.099045292236,-467.454758305872,-4159.7644132316855,-1.084155988001868
NOW-IBM,0.39100820887315235,-0.40842647656031444,1997.618587792103,3314.5089598691616,1319.7404643304678,-1191.2410287975174,-0.7994346854334669
NOW-NET,-0.10842123968390074,0.40400310424049374,3352.3950997656184,2623.6966136922047,-453.32987330059836,1347.3082622408501,0.5124243439243945
NOW-ORCL,0.4715378693496661,0.0,2726.498090459138,0.0,1588.5546818642767,0.0,-0.4715378693496661
NOW-PANW,0.4936423334626211,0.13978902068534335,820.5404761408274,3061.055899781969,856.7463950054394,450.9564093408376,-0.3538533127772777
NOW-TEAM,-0.15530916754268392,0.058730037248386206,2667.7077395654374,2310.5171386641714,-541.4548714568276,134.73789278691044,0.21403920479107014
NOW-ZS,-0.24642758209124532,-0.5411777194864891,4243.8666878353015,1634.1691075379797,-1013.1761968339424,-779.1563062529931,-0.29475013739524375
ORCL-CRWD,0.11838086159498051,-0.387218591863975,2486.059060811574,3019.488243460941,364.2948824168354,-1156.3805393305126,-0.5055994534589555
ORCL-IBM,0.08253162257263678,-1.1712819905216232,1233.3078701741783,4306.247254232571,156.05955904797165,-2871.5269185711154,-1.2538136130942599
ORCL-NET,-0.3063755631921127,-0.79959939064717,2509.788935482301,2255.4947633447086,-1123.09784295177,-1853.7231757647342,-0.49322382745505733
ORCL-PANW,0.22760098036479612,-0.2173584069323602,2427.461346839111,2176.2452454153,715.2306221366244,-563.7703132994592,-0.44495938729715634
ORCL-ZS,0.03764488608369192,0.0751500218395428,1992.0326499105563,470.98324720406794,101.21815569308806,92.5892723245489,0.03750513575585088
PANW-CRWD,0.34795880914745064,0.24367640902290635,941.4922268333814,1510.5384850226822,762.7118331347865,571.567130032715,-0.10428240012454429
PANW-ZS,0.16083063036490888,0.01017883819751739,1315.0934909595553,1376.0375607140004,398.01774968138807,14.180223087205203,-0.1506517921673915
SNOW-CRM,-0.02340123434245104,0.0,4817.029907711372,0.0,-146.0323494784662,0.0,0.02340123434245104
SNOW-CRWD,0.6376664070458468,0.0,998.3674423825889,0.0,1367.4713583298605,0.0,-0.6376664070458468
SNOW-IBM,0.10132318961546215,-0.6075200338285185,1926.7974276084242,3029.5280428001656,223.8288310574234,-1652.526733091952,-0.7088432234439807
SNOW-NET,0.8941119470820262,-0.26543814980248737,170.55173333103414,1757.2831932790186,561.5639462295003,-511.8370196539062,-1.1595500968845136
SNOW-NOW,0.2645532594364373,-0.4238782704744984,2359.715030990731,3883.2076264070356,1478.3795886842877,-1631.5203911016633,-0.6884315299109357
SNOW-ORCL,0.4858862700998641,0.0,2526.9568383947135,0.0,1728.3947062121551,0.0,-0.4858862700998641
SNOW-PANW,-0.055918090179449584,-0.9382992693395275,2014.194623847317,6674.779690780218,-213.46110922092402,-5924.033137640829,-0.8823811791600779
