Pair,Sharpe_Static,Sharpe_WF,MaxDD_Static,MaxDD_WF,FinalPnL_Static,FinalPnL_WF,ΔSharpe
CAT-DE,-0.2584172648475133,-1.4747762834237323,1386.222472406116,3371.045785319724,-444.82333181560665,-2743.6135935744255,-1.216359018576219
CAT-DOV,0.8320604058651674,0.0,451.4902262584129,0.0,987.1984192185398,0.0,-0.8320604058651674
CAT-ETN,0.3641520599274249,0.0,784.3438219306917,0.0,438.3584889776066,0.0,-0.3641520599274249
CAT-FAST,0.17989640821091785,-0.6759590753279086,1403.7734565701046,1660.3499564781248,268.6917037548125,-858.9447285965265,-0.8558554835388263
CAT-ITW,0.5643722092834009,0.40742998157824684,472.35693604457305,1210.0296657381186,533.0709774649164,461.7917126555395,-0.1569422277051541
CAT-MMM,0.571121971756733,-0.846239477410938,1464.597250007605,1948.068458650938,1076.1781443023156,-1203.2537770612066,-1.417361449167671
CAT-ROK,0.39001746094955125,0.0,669.3803052715248,0.0,561.3764710118769,0.0,-0.39001746094955125
DE-DOV,0.3228351054977346,0.4202474506055902,1631.335972510009,1330.252135160846,639.031103694651,832.6040908480154,0.09741234510785562
DE-ETN,0.4136577545239367,0.32364492586350335,1378.7686995676836,967.4296522284117,666.8468140997206,509.0695177517333,-0.09001282866043336
DE-FAST,0.1130684313609174,-0.2589012625572576,817.1788078330098,1915.1759211584936,172.98140281694745,-627.1705271741006,-0.371969693918175
DE-ITW,-0.4605572196231866,0.464668583641169,1884.236549475849,1355.0086542558051,-840.5379847653792,1147.8108665098919,0.9252258032643556
DE-MMM,0.4208735196383421,-1.3744686254830765,1448.7549707470714,3581.195199926168,786.8518385433646,-3247.013124431975,-1.7953421451214187
DE-ROK,0.2047084965354459,0.4785676829803775,1012.6893385802564,1211.4702346397373,313.71630927525155,1008.5392669759201,0.27385918644493157
DOV-FAST,0.28856870191751655,0.0,1636.114394726343,0.0,750.1132784144686,0.0,-0.28856870191751655
ETN-DOV,0.35050378490713596,-0.8503993812906987,649.393661435657,2280.1127008225053,386.67739669382763,-1604.727294003168,-1.2009031661978347
ETN-FAST,0.2386199949556253,0.0,1379.545334609274,0.0,453.6087798685979,0.0,-0.2386199949556253
