Pair,Sharpe_Static,Sharpe_WF,MaxDD_Static,MaxDD_WF,FinalPnL_Static,FinalPnL_WF,ΔSharpe
ABBV-AZN,0.5422039137929276,0.2213575100874076,605.5438548181179,1759.2079313260124,781.4883465978903,545.6900967658415,-0.3208464037055201
ABBV-BMY,0.34002452414228856,0.0,1141.181601591874,0.0,860.6225397400067,0.0,-0.34002452414228856
ABBV-GSK,0.16984828537810298,0.0,1451.009914720344,0.0,399.6089333104445,0.0,-0.16984828537810298
ABBV-NVS,1.0294309530766421,0.2711429168898967,422.5098355795334,1226.10654241453,1345.2164983868163,476.9784751701816,-0.7582880361867455
BMY-AZN,-1.0190979339334056,0.0,3156.9318132462695,0.0,-1977.0917707839012,0.0,1.0190979339334056
BMY-NVS,-0.01287897523728638,0.15933824296658936,1438.5373413611112,286.8551716602399,-28.31944167725698,77.54186222875943,0.17221721820387573
GSK-AZN,0.5225532500674192,0.1976006550416086,717.2332664410658,1095.9622325565565,783.5200037123774,374.1849444098781,-0.32495259502581053
GSK-BMY,0.9872404033155572,-0.6391719473027234,1005.366128994009,1998.942996135066,1230.5002625980605,-1103.236162433762,-1.6264123506182806
GSK-NVS,0.279745249622625,0.757469241451913,1753.702247851994,2221.902736867778,558.3547977205832,2021.3391851546985,0.477723991829288
JNJ-ABBV,0.8683643249479182,0.0,533.7828605580975,0.0,979.1906790602519,0.0,-0.8683643249479182
JNJ-AZN,0.7731838887149552,0.0,256.61877644657784,0.0,494.7623714457467,0.0,-0.7731838887149552
JNJ-BMY,0.9768309243977357,-0.4602716899925817,393.474256272198,1623.675100861524,1089.9170529490316,-814.195369124472,-1.4371026143903174
JNJ-GSK,0.7058887137513916,-0.1414510541697872,296.49223179874434,1178.22640489386,570.4800596393717,-224.63755376149805,-0.8473397679211788
JNJ-MRK,1.251263233554336,0.4817647968098755,324.32129766162666,914.5325187565422,1360.9723083494614,826.3300757783882,-0.7694984367444606
JNJ-NVS,0.8939901309586121,-0.6967720831189611,415.46553297184755,355.8044167169873,1007.7925541821927,-253.14097278357298,-1.5907622140775732
JNJ-PFE,0.5076306665785685,0.0,382.0482254004834,0.0,356.5031774044693,0.0,-0.5076306665785685
MRK-ABBV,0.0020623755543793107,0.0,990.3842316245959,0.0,3.2540491818145973,0.0,-0.0020623755543793107
MRK-AZN,-1.1831496171669873,0.0,4290.598768578322,0.0,-3488.425421642163,0.0,1.1831496171669873
MRK-BMY,-1.0247831364382294,0.7561010069799019,3369.152925263706,669.1812502926282,-2567.7956322717596,1412.1456013460142,1.7808841434181313
MRK-GSK,-0.2128727512432795,-1.1974841882805725,1809.567630598748,2568.7881609480382,-367.2466853197714,-2218.4806117745666,-0.9846114370372929
MRK-NVS,-0.4230578377269151,0.0,1947.5009548870214,0.0,-682.5196600617097,0.0,0.4230578377269151
NVS-AZN,0.30514812189627327,-0.32740798421574857,813.5323756716599,563.5521160268369,258.35495431613015,-218.15665163693146,-0.6325561061120218
PFE-ABBV,0.5498001660145022,-0.4865538248826166,757.3653698908096,1469.7000842688076,1178.0398065690647,-818.430990813551,-1.0363539908971189
PFE-AZN,0.3655875357500159,-0.15394118207250596,1449.5498313369367,897.5460171160055,675.5440257856933,-179.06952456631015,-0.5195287178225219
PFE-BMY,0.6765748119960994,0.718825892196841,1256.0699800973066,1041.7195391686514,1665.4769623835825,1126.0162298734035,0.04225108020074164
PFE-GSK,0.12628838961354225,-0.6319444354999887,1341.030135781772,1770.9795686174643,197.38017755486382,-1152.2360254940788,-0.758232825113531
PFE-MRK,0.2405163884391282,0.14972649046285916,822.605011749933,2389.935022168196,402.2623672052341,448.6162131020133,-0.09078989797626905
PFE-NVS,0.4777704347008572,0.0,1303.6913246141319,0.0,1041.2789646154329,0.0,-0.4777704347008572
