Universe,Pair,Sharpe_Static,Sharpe_WF,MaxDD_Static,MaxDD_WF,FinalPnL_Static,FinalPnL_WF,score,weight
FINTECH,COIN-SOFI,1.1272149012486157,-0.1368908278835164,2236.775480785314,3442.937299037195,5406.416867511629,-594.6872530414375,1398.9238411157066,0.1335516601384621
INSURANCE,HUM-AFL,1.9950903531195672,0.0,698.6819798305053,0.0,4410.366605824929,0.0,1254.4388379763,0.11975804860133292
BIG_TECH,META-INTC,1.7332276102535078,0.5148439447331891,645.9597233527286,1673.9920772154042,4270.772082082942,1180.2891849054702,1217.6755888557618,0.11624835578759408
BIG_TECH,AMZN-INTC,1.4047875196312969,0.0,970.455766465649,0.0,4028.2894678632792,0.0,1112.2841362241975,0.10618690494254746
FINTECH,SOFI-AFRM,1.065117352585296,0.5676033542825744,2017.494654764644,2634.4971518755256,3966.48854671446,1537.6964866226674,988.8361689494247,0.09440164509801185
MEDIA_ENTERTAINMENT,SPOT-IMAX,1.3842269746522216,0.0,744.7496536659326,0.0,3483.580288979704,0.0,971.4296575121092,0.09273989023234412
RENEWABLE_ENERGY,NEE-PLUG,1.3313020218221128,0.4846093528657258,986.8020441026396,1827.843387666352,3379.694411374084,1256.9062716979993,916.0269002150545,0.0874507315263428
CLOUD_COMPUTING,NET-CRWD,1.2702516974504816,0.0,924.125830200825,0.0,3243.739911509701,0.0,881.471541451298,0.08415182032478717
FINTECH,COIN-AFRM,1.1731707271244327,-0.2321343021682111,1734.8171801964352,5274.912959461462,3504.754400433075,-1185.1806059659875,878.6485045465536,0.08388231225424055
MEDIA_ENTERTAINMENT,WBD-LYV,1.1547621668970467,0.6126421874501241,760.9770807086941,4483.103038263627,3101.488493406453,3410.1306811324266,855.0416972512047,0.08162863109433684
