Pair,Sharpe_Static,Sharpe_WF,MaxDD_Static,MaxDD_WF,FinalPnL_Static,FinalPnL_WF,ΔSharpe
AFL-ALL,0.6266883200204049,-0.2010070881228822,560.1497336578523,934.6109802963483,697.1306878340476,-195.6512231642433,-0.827695408143287
AFL-MET,0.5411271623085572,-0.5990719011966914,775.3997241727764,962.3083695796801,700.1019990175953,-592.1361737794438,-1.1401990635052486
AFL-PRU,-0.32699372528574816,0.9645421834959811,2453.1169656949005,325.44685723777854,-693.71790297028,929.0932996467271,1.2915359087817293
CI-AFL,0.4879560701800782,-0.23814004173740458,1305.4397813311202,2368.917087306504,1074.6461911667138,-780.6919055173954,-0.7260961119174828
CI-ALL,0.5595525198691794,0.6143476407188841,1192.2600633618774,1260.673055623683,1079.408309229508,1278.954864025826,0.054795120849704726
CI-HUM,0.8015497704409544,0.10030680475181905,1073.198856256209,2023.7719483930591,1680.5060128373998,281.62823962285734,-0.7012429656891354
CI-MET,0.4174927097544632,0.19680911307327142,1302.6336871351768,2212.8172329105073,724.7128434594482,557.0102063092014,-0.22068359668119175
CI-PRU,-0.029269395721601785,0.0,1582.654001031803,0.0,-56.62948545400579,0.0,0.029269395721601785
CVS-AFL,0.45170565753054914,0.0,974.1836636610932,0.0,543.2044667332049,0.0,-0.45170565753054914
CVS-ALL,0.2579719352967176,0.0,1388.0833830346553,0.0,349.2202531349192,0.0,-0.2579719352967176
CVS-CI,0.20746663593597747,0.9491693366188875,1115.1716252251078,1324.7150555306182,470.3184194841839,2921.783850471418,0.74170270068291
CVS-HUM,0.27988485044747113,0.0,1276.566621874509,0.0,698.0597559257942,0.0,-0.27988485044747113
CVS-MET,0.24079088131537496,0.0,683.2962258615966,0.0,235.49214591427977,0.0,-0.24079088131537496
CVS-PRU,0.2960950092147878,0.5322053688513558,1037.252370740599,1024.845398835189,284.95127324924084,811.5479268049758,0.236110359636568
HUM-AFL,1.9950903531195672,0.0,698.6819798305053,0.0,4410.366605824929,0.0,-1.9950903531195672
HUM-ALL,1.2735449183655179,-0.8198724087418485,992.156397869675,3006.24635101914,2921.54033605925,-1714.496672933317,-2.0934173271073666
HUM-MET,-0.26417842726181073,0.0,1983.8211470882886,0.0,-648.1547677000223,0.0,0.26417842726181073
HUM-PRU,0.6175545566708655,-1.2331628185358812,1967.5929790216524,3030.0158228113282,1746.207230730817,-2363.9067527738525,-1.8507173752067465
MET-ALL,0.6095583538722169,-0.21042025851278795,888.4192127773215,1553.9809974222035,1037.0638175338595,-324.27774617750174,-0.8199786123850048
PRU-ALL,0.38352996004491613,0.0,1691.754861082765,0.0,1187.6542953464577,0.0,-0.38352996004491613
PRU-MET,0.2403295639116821,0.0,1106.5886415630787,0.0,417.4966074875333,0.0,-0.2403295639116821
UNH-AFL,-0.6775663109015568,0.8315570528136323,3881.240824873289,1915.2998753800962,-2409.045766645401,2885.9939558273436,1.5091233637151893
UNH-ALL,-0.5934781755533097,-0.32188531484221444,3531.242970178078,2330.9414436921834,-1549.0534969106761,-823.662216235479,0.2715928607110953
UNH-CI,-0.840611399441312,0.0,2762.8273455133526,0.0,-2075.7454787776787,0.0,0.840611399441312
UNH-CVS,-0.9083242704493876,-0.6210557248685766,3023.4535351714567,3117.15177901578,-2090.1966225850397,-1907.611525750072,0.28726854558081094
UNH-HUM,-1.0288118195193443,0.48805194417537423,3458.725182371125,978.8721452211911,-2271.27908187739,1125.935948535873,1.5168637636947184
UNH-MET,-0.8455080924615949,-0.34948265861318184,5683.142923472885,2231.9790042843533,-3685.715487382177,-835.7436126905236,0.496025433848413
UNH-PRU,0.028482932631194054,-0.6222084700583568,1551.2457017978131,3370.863651145337,72.66004625702445,-2614.183169498918,-0.6506914026895508
